,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.09-52-0.85,0.09,52,0.85, 46,202,115,1,0.264, 9.97,FALSE,0.09-52-0.85,0.1787,0.7154,0.892,0.00594,0.259,-0.192, 3.67e-01,0.00899,0.0282,0.1256,0.11194,0.000221
0.1-28-0.75,0.10,28,0.75, 50,157, 85,1,0.244,15.99,FALSE,0.1-28-0.75,0.2441,0.6598,0.894,0.00533,0.166,-0.186, 2.85e-01,0.00773,0.0250,0.0384,0.01956,0.000412
0.06-36-0.25,0.06,36,0.25, 66,204,116,1,0.189,22.48,FALSE,0.06-36-0.25,0.2105,0.7116,0.921,0.00398,0.207,-0.192, 3.61e-01,0.00801,0.0210,0.0676,0.02324,0.000412
0.14-60-0.85,0.14,60,0.85, 59,256,143,1,0.245,12.10,FALSE,0.14-60-0.85,0.2122,0.6896,0.897,0.00357,0.207,-0.192, 3.28e-01,0.00785,0.0254,0.1481,0.30966,0.000147
0.2-32-0,0.20,32,0.00, 62,192,114,1,0.190,18.20,FALSE,0.2-32-0,0.2070,0.7023,0.900,0.00482,0.213,-0.192, 3.47e-01,0.00824,0.0233,0.0539,0.02765,0.000284
0.08-48-0.85,0.08,48,0.85, 46,194,111,1,0.261,10.06,FALSE,0.08-48-0.85,0.2321,0.6878,0.914,0.00429,0.178,-0.189, 3.25e-01,0.00778,0.0211,0.1118,0.05730,0.000316
0.08-40-0.3,0.08,40,0.30, 78,253,149,1,0.181,21.11,FALSE,0.08-40-0.3,0.1948,0.7342,0.933,0.00256,0.231,-0.193, 3.95e-01,0.00711,0.0195,0.0872,0.02860,0.000316
0.2-28-0.4,0.20,28,0.40, 57,177,103,1,0.198,15.29,FALSE,0.2-28-0.4,0.2269,0.6929,0.910,0.00474,0.185,-0.190, 3.33e-01,0.00805,0.0210,0.0384,0.02645,0.000341
0.06-52-0.85,0.06,52,0.85, 42,180,102,1,0.294, 8.11,FALSE,0.06-52-0.85,0.1994,0.7096,0.912,0.00399,0.224,-0.193, 3.58e-01,0.00734,0.0230,0.1256,0.05567,0.000316
0.08-40-0.85,0.08,40,0.85, 39,141, 80,1,0.269,10.05,FALSE,0.08-40-0.85,0.2136,0.6849,0.895,0.00714,0.206,-0.192, 3.21e-01,0.00903,0.0255,0.0815,0.02765,0.000316
